Name	Lat	Lng	Type	Verses	Source	Confidence	SourceDetail
Bealoth	30.991038	34.911322	city	Josh.15.24	gnosis	medium	openbible
Bealoth	33.04846798541127	35.10220252805766	city	1Kgs.4.16	gnosis	medium	theographic
Beautiful gate	31.776667	35.234167	landmark	Acts.3.2,Acts.3.10	gnosis	medium	openbible
Beer	31.90007449	35.21668801	city	Judg.9.21	gnosis	medium	theographic
Beer-elim	31.571944	35.893333	city	Isa.15.8	gnosis	medium	openbible
Beer-lahai-roi	30.6875	34.333333	city	Gen.24.62,Gen.25.11	gnosis	medium	openbible
Beeroth Bene-jaakan	30.791764	34.472522	city	Deut.10.6	gnosis	medium	openbible
Beersheba	31.244722	34.840833	city	Gen.21.14,Gen.21.31,Gen.21.32,Gen.21.33,Gen.22.19,Gen.26.23,Gen.26.33,Gen.28.10,Gen.46.1,Gen.46.5,Josh.15.28,Josh.19.2,Judg.20.1,1Sam.3.20,1Sam.8.2,2Sam.3.10,2Sam.17.11,2Sam.24.2,2Sam.24.7,2Sam.24.15,1Kgs.4.25,1Kgs.19.3,2Kgs.12.1,2Kgs.23.8,1Chr.4.28,1Chr.21.2,2Chr.19.4,2Chr.24.1,2Chr.30.5,Neh.11.27,Neh.11.30,Amos.5.5	gnosis	medium	openbible
Beeshterah	32.804167	36.015833	city	Josh.21.27	gnosis	medium	openbible
Bela	30.92652253	35.41906069	city	Gen.14.2,Gen.14.8	gnosis	medium	theographic
Bene-jaakan	30.791764	34.472522	city	Num.33.31,Num.33.32	gnosis	medium	openbible
Benjamin's gate	31.776667	35.234167	city		gnosis	medium	openbible
Beon	31.679501	35.735321	city	Num.32.3	gnosis	medium	openbible
Bered	31.097	34.652	city	Gen.16.14	gnosis	medium	openbible
Berothai	33.935278	36.150833	city	2Sam.8.8	gnosis	medium	openbible
Betah	33.93148	36.152049	city	2Sam.8.8	gnosis	medium	theographic
Beth-anath	33.20028	35.43306	city	Josh.19.38,Judg.1.33	gnosis	medium	openbible
Beth-arabah	31.845782	35.501718	city	Josh.15.6,Josh.15.61,Josh.18.22	gnosis	medium	openbible
Beth-ashbea	31.4558	34.9098	city	1Chr.4.21	gnosis	medium	openbible
Beth-baal-meon	31.679454	35.734892	city	Josh.13.17	gnosis	medium	theographic
Beth-barah	32.1	35.52	landmark	Judg.7.24	gnosis	medium	openbible
Beth-biri	31.00669	34.49181	city	1Chr.4.31	gnosis	medium	openbible
Beth-car	31.895	35.083611	city	1Sam.7.11	gnosis	medium	openbible
Beth-dagon	31.98358	34.808618	city	Josh.15.41	gnosis	medium	openbible
Beth-dagon	32.899561	35.107928	city	Josh.19.27	gnosis	medium	theographic
Beth-diblathaim	31.638727	35.826578	city	Jer.48.22	gnosis	medium	openbible
Beth-eden	36.7014	38.0865	city	Amos.1.5	gnosis	medium	openbible
Beth-eked	32.4697	35.3563	city	2Kgs.10.12,2Kgs.10.14	gnosis	medium	openbible
Beth-ezel	31.468544	34.938061	city	Mic.1.11	gnosis	medium	openbible
Beth-gilgal	31.881883	35.459969	city	Neh.12.29	gnosis	medium	openbible
Beth-haggan	32.46079	35.29875	city	2Kgs.9.27	gnosis	medium	openbible
Beth-haran	31.816667	35.583333	city	Num.32.36	gnosis	medium	theographic
Beth-horon	31.895	35.083611	city	Josh.10.10,Josh.10.11,Josh.18.14,Josh.21.22,1Sam.13.18,1Chr.6.68,2Chr.25.13	gnosis	medium	openbible
Beth-le-aphrah	31.55659	35.03355	city	Mic.1.10	gnosis	medium	openbible
Beth-lebaoth	31.00669	34.49181	city	Josh.19.6	gnosis	medium	openbible
Beth-maacah	33.26852614	35.57804682	city	2Sam.20.14,2Sam.20.15	gnosis	medium	theographic
Beth-marcaboth	31.350265	34.928577	city	Josh.19.5,1Chr.4.31	gnosis	medium	openbible
Beth-meon	31.679501	35.735321	city	Jer.48.23	gnosis	medium	openbible
Beth-millo	32.213611	35.281944	city	Judg.9.6,Judg.9.20	gnosis	medium	openbible
Beth-pazzez	32.6804	35.4863	city	Josh.19.21	gnosis	medium	openbible
Beth-pelet	31.30992	34.9078	city	Josh.15.27,Neh.11.26	gnosis	medium	openbible
Beth-shean	32.50423846	35.50307739	city	Josh.17.11,Josh.17.16,Judg.1.27,1Kgs.4.12,1Chr.7.29	gnosis	medium	theographic
Beth-togarmah	38.7225	37.2775	region	Ezek.27.14,Ezek.38.6	gnosis	medium	openbible
Bethany	31.771661	35.255903	city	Matt.21.17,Matt.26.6,Mark.11.1,Mark.11.11,Mark.11.12,Mark.14.3,Luke.19.29,Luke.24.50,John.11.1,John.11.18,John.12.1	gnosis	medium	openbible
Bethany	31.83632115	35.55260017	city	John.1.28	gnosis	medium	theographic
Bethel	31.344952	35.124376	city	Gen.12.8,Gen.13.3,Gen.28.19,Gen.31.13,Gen.35.1,Gen.35.3,Gen.35.6,Gen.35.8,Gen.35.15,Gen.35.16,Josh.7.2,Josh.8.9,Josh.8.12,Josh.8.17,Josh.12.9,Josh.16.1,Josh.16.2,Josh.18.13,Josh.18.22,Judg.1.22,Judg.1.23,Judg.4.5,Judg.20.18,Judg.20.26,Judg.20.31,Judg.21.2,Judg.21.19,1Sam.7.16,1Sam.10.3,1Sam.13.2,1Kgs.12.29,1Kgs.12.32,1Kgs.12.33,1Kgs.13.1,1Kgs.13.4,1Kgs.13.10,1Kgs.13.11,1Kgs.13.32,2Kgs.2.2,2Kgs.2.3,2Kgs.2.23,2Kgs.10.29,2Kgs.17.28,2Kgs.23.4,2Kgs.23.15,2Kgs.23.17,2Kgs.23.19,1Chr.7.28,2Chr.13.19,Ezra.2.28,Neh.7.32,Neh.11.31,Jer.48.13,Hos.10.15,Hos.12.4,Amos.3.14,Amos.4.4,Amos.5.5,Amos.5.6,Amos.7.10,Amos.7.13,Zech.7.2	gnosis	medium	openbible
Bethel	32.049953	35.733402	city	Josh.12.16,1Sam.30.27	gnosis	medium	theographic
Bethesda	31.781389	35.235833	landmark	John.5.2	gnosis	medium	openbible
